CPSE,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Normalized_Description,Normalized_Specification,Normalized_Material_Grade,Normalized_Size,Normalized_Coating,Normalized_Manufacturer,Normalized_Manufacturer_Part_No,Normalized_Unit,Normalization_Changed,Normalization_Rule_Count,Normalization_Rules_Applied
IOCL,IOCL-146676,BEARING NO 6208,Bearings,Ball Bearing,ISO 15; Bearing 6208,Chrome Steel,6208,,,,NOS,ABC Industrial Products,ABC-286-51,Paradip Refinery,Active,16011,2025-03-26,bearing number 6208,iso 15; bearing 6208,chrome steel,6208,,ABC Industrial Products,ABC-286-51,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-965307,WELD NECK FLANGE 1 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 1 in; ASTM A105,ASTM A105,1 in,,,Bare,MTR,Precision Fasteners,PRE-349-86,Mathura Refinery,Active,7161,2025-04-25,weld neck flange 1 in astm a105,asme b16.5; 1 in; astm a105,astm a105,1 in,bare,Precision Fasteners,PRE-349-86,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-666286,GLOBE VALVE FLANGED 1 in ASTM A216 WCB,Valves,Globe Valve,API 623; 1 in; ASTM A216 WCB,ASTM A216 WCB,1 in,,,Painted,NOS,Hindustan Mechanical,HIN-992-85,Mehsana Asset,Active,16156,2025-12-06,globe valve flanged 1 in astm a216 wcb,api 623; 1 in; astm a216 wcb,astm a216 wcb,1 in,painted,Hindustan Mechanical,HIN-992-85,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-276210,SAFETY VALVE 3 in,Safety,Safety Valve,API 526; 3 in; SS 316,SS 316,3 in,,,SS,NOS,Eastern Cables,EAS-993-64,Chennai Refinery,Active,20542,2024-08-22,safety valve 3 in,api 526; 3 in; ss 316,ss 316,3 in,ss,Eastern Cables,EAS-993-64,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-123432,WELD NECK FLANGE 3 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 3 in; ASTM A105,ASTM A105,3 in,,,Bare,MTR,National Bearing Works,NAT-474-38,Manali Terminal,Active,13758,2025-12-15,weld neck flange 3 in astm a105,asme b16.5; 3 in; astm a105,astm a105,3 in,bare,National Bearing Works,NAT-474-38,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-641887,FLOATING BALL VALVE 4 in SS 316,Valves,Ball Valve,API 608; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Eastern Cables,EAS-545-85,Vishakha Terminal,Inactive,17912,2024-09-21,floating ball valve 4 in stainless steel 316,api 608; 4 in; ss 316,ss 316,4 in,ss,Eastern Cables,EAS-545-85,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-205969,1.5 sq mm SQ MM POWER CABLE,Electrical,Cable,IS 7098; 1.5 sq mm; 100 m,XLPE Copper,1.5 sq mm,100 mm,,PVC,MTR,Eastern Cables,EAS-648-97,Chennai Refinery,Active,22892,2026-01-06,1.5 sq mm sq mm power cable,is 7098; 1.5 sq mm; 100 m,xlpe copper,1.5 sq mm,pvc,Eastern Cables,EAS-648-97,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-572972,FLOATING BALL VALVE 1 in,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Precision Fasteners,PRE-782-63,Ahmedabad Asset,Active,1930,2024-04-02,floating ball valve 1 in,api 608; 1 in; ss 316,ss 316,1 in,ss,Precision Fasteners,PRE-782-63,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-570543,CARTRIDGE FUSE 10 A,Electrical,Fuse,IS 13703; 10 A,Ceramic,10 A,,,,MTR,Metro Pumps & Valves,MET-583-32,Visakh Refinery,Inactive,20982,2025-10-05,cartridge fuse 10 a,is 13703; 10 a,ceramic,10 a,,Metro Pumps & Valves,MET-583-32,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-867336,POWER CABLE 4 sq mm XLPE Copper,Electrical,Cable,IS 7098; 4 sq mm; 1000 m,XLPE Copper,4 sq mm,1000 mm,,PVC,MTR,ABC Industrial Products,ABC-238-55,Chennai Refinery,Inactive,399,2025-02-08,power cable 4 sq mm xlpe copper,is 7098; 4 sq mm; 1000 m,xlpe copper,4 sq mm,pvc,ABC Industrial Products,ABC-238-55,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-778589,SEAMLESS STEEL PIPE 1 in API 5L,Pipes & Fittings,Pipe,API 5L; 1 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1 in,3000 mm,,Black,MTR,Eastern Cables,EAS-353-92,Mehsana Asset,Inactive,8212,2026-03-21,seamless steel pipe 1 in api 5l,api 5l; 1 in; astm a106 gr.b,astm a106 gr.b,1 in,black,Eastern Cables,EAS-353-92,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-485225,M16 HEX NUT,Fasteners,Nut,IS 1364; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Prime Electricals,PRI-334-72,Mehsana Asset,Active,12566,2024-06-06,m16 hexagonal nut,is 1364; m16; zinc plated,carbon steel,m16,zinc plated,Prime Electricals,PRI-334-72,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-238343,GATE VALVE FLANGED 6 in,Valves,Gate Valve,API 600; 6 in; ASTM A216 WCB,ASTM A216 WCB,6 in,,,Painted,NOS,Apex Industrial Systems,APE-802-55,Mumbai Offshore,Active,16490,2024-07-27,gate valve flanged 6 in,api 600; 6 in; astm a216 wcb,astm a216 wcb,6 in,painted,Apex Industrial Systems,APE-802-55,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-723142,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 150 mm,Pt100,3-wire,150 mm,8 mm,SS,NOS,Hindustan Mechanical,HIN-293-58,Paradip Refinery,Blocked,23978,2026-02-28,rtd sensor 3-wire,iec 60751; 3-wire; 150 mm,pt100,3-wire,ss,Hindustan Mechanical,HIN-293-58,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-937499,SEAMLESS STEEL PIPE 1/2 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 1/2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1/2 in,6000 mm,,Black,MTR,Bharat Industrial Works,BHA-968-17,Paradip Refinery,Active,11212,2024-12-05,seamless steel pipe 1/2 in astm a106 gr.b,api 5l; 1/2 in; astm a106 gr.b,astm a106 gr.b,1/2 in,black,Bharat Industrial Works,BHA-968-17,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-297420,BALL BEARING 6202,Bearings,Ball Bearing,ISO 15; Bearing 6202,Chrome Steel,6202,,,,NOS,Shree Valves & Fittings,SHR-428-77,Mathura Refinery,Active,22538,2024-01-22,ball bearing 6202,iso 15; bearing 6202,chrome steel,6202,,Shree Valves & Fittings,SHR-428-77,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-501337,HRC FUSE 32 A,Electrical,Fuse,IS 13703; 32 A,Ceramic,32 A,,,,MTR,Eastern Cables,EAS-670-20,Chennai Refinery,Active,11026,2024-12-27,high rupturing capacity fuse 32 a,is 13703; 32 a,ceramic,32 a,,Eastern Cables,EAS-670-20,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-578607,HRC CARTRIDGE 63 A,Electrical,Fuse,IS 13703; 63 A,Ceramic,63 A,,,,MTR,Bharat Industrial Works,BHA-510-81,Panipat Refinery,Active,15702,2025-01-25,high rupturing capacity cartridge 63 a,is 13703; 63 a,ceramic,63 a,,Bharat Industrial Works,BHA-510-81,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-393335,PT100 RTD 4-wire 150,Instrumentation,Temperature Sensor,IEC 60751; 4-wire; 150 mm,Pt100,4-wire,150 mm,8 mm,SS,NOS,Larsen Engineering,LAR-101-93,Ahmedabad Asset,Active,8264,2024-10-05,pt100 rtd 4-wire 150,iec 60751; 4-wire; 150 mm,pt100,4-wire,ss,Larsen Engineering,LAR-101-93,NOS,True,1,LOWERCASE_TEXT
CPCL,CPCL-777446,FLOATING BALL VALVE 1 in SS 316,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,National Bearing Works,NAT-633-39,Manali Terminal,Active,24105,2025-06-18,floating ball valve 1 in stainless steel 316,api 608; 1 in; ss 316,ss 316,1 in,ss,National Bearing Works,NAT-633-39,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-444476,FLANGE 6 in ASTM A105,Pipes & Fittings,Flange,ASME B16.5; 6 in; ASTM A105,ASTM A105,6 in,,,Bare,MTR,Metro Pumps & Valves,MET-897-16,Chennai Refinery,Active,22314,2024-06-19,flange 6 in astm a105,asme b16.5; 6 in; astm a105,astm a105,6 in,bare,Metro Pumps & Valves,MET-897-16,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-727357,PRESSURE RELIEF VALVE 4 in SS 316,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Hindustan Mechanical,HIN-593-46,Mathura Refinery,Active,16632,2024-10-27,pressure relief valve 4 in stainless steel 316,api 526; 4 in; ss 316,ss 316,4 in,ss,Hindustan Mechanical,HIN-593-46,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-142411,XLPE CABLE 10 sq mm,Electrical,Cable,IS 7098; 10 sq mm; 500 m,XLPE Aluminium,10 sq mm,500 mm,,PVC,MTR,Larsen Engineering,LAR-139-15,Manali Terminal,Active,12929,2025-04-15,xlpe cable 10 sq mm,is 7098; 10 sq mm; 500 m,xlpe aluminium,10 sq mm,pvc,Larsen Engineering,LAR-139-15,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-743272,EP GEAR OIL ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Shree Valves & Fittings,SHR-220-70,Paradip Refinery,Active,12287,2024-08-19,ep gear oil iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Shree Valves & Fittings,SHR-220-70,LTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-301263,POWER CABLE 35 sq mm XLPE Aluminium,Electrical,Cable,IS 7098; 35 sq mm; 100 m,XLPE Aluminium,35 sq mm,100 mm,,PVC,MTR,Bharat Industrial Works,BHA-593-34,Mumbai Offshore,Active,21890,2025-08-17,power cable 35 sq mm xlpe aluminium,is 7098; 35 sq mm; 100 m,xlpe aluminium,35 sq mm,pvc,Bharat Industrial Works,BHA-593-34,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-260397,HORIZONTAL CENTRIFUGAL PUMP 50 mm,Pumps,Centrifugal Pump,API 610; 50 mm; SS 316,SS 316,50 mm,,,Painted,NOS,ABC Industrial Products,ABC-545-56,Mumbai Refinery,Active,2708,2026-08-18,horizontal centrifugal pump 50 mm,api 610; 50 mm; ss 316,ss 316,50 mm,painted,ABC Industrial Products,ABC-545-56,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-725092,WASHER M16 GALVANIZED,Fasteners,Washer,IS 2016; M16; Galvanized,Carbon Steel,M16,,,Galvanized,NOS,ABC Industrial Products,ABC-943-74,Visakh Refinery,Active,23891,2025-05-14,washer m16 galvanized,is 2016; m16; galvanized,carbon steel,m16,galvanized,ABC Industrial Products,ABC-943-74,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-453940,SEAMLESS STEEL PIPE 1/2 in API 5L,Pipes & Fittings,Pipe,API 5L; 1/2 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1/2 in,6000 mm,,Bare,MTR,Precision Fasteners,PRE-112-37,Mehsana Asset,Inactive,9439,2026-06-07,seamless steel pipe 1/2 in api 5l,api 5l; 1/2 in; astm a106 gr.b,astm a106 gr.b,1/2 in,bare,Precision Fasteners,PRE-112-37,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-875352,GATE VALVE FLANGED 2 in,Valves,Gate Valve,API 600; 2 in; ASTM A216 WCB,ASTM A216 WCB,2 in,,,Painted,NOS,Supreme Engineering,SUP-831-53,Mathura Refinery,Active,17398,2026-08-14,gate valve flanged 2 in,api 600; 2 in; astm a216 wcb,astm a216 wcb,2 in,painted,Supreme Engineering,SUP-831-53,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-327324,SWG 2 in,Seals,Gasket,ASME B16.20; 2 in; Graphite/SS 316,Graphite/SS 316,2 in,,,SS,NOS,Metro Pumps & Valves,MET-307-62,Mehsana Asset,Active,3211,2026-03-14,swg 2 in,asme b16.20; 2 in; graphite/ss 316,graphite/ss 316,2 in,ss,Metro Pumps & Valves,MET-307-62,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-751402,CENTRIFUGAL PUMP 25 mm SS 316,Pumps,Centrifugal Pump,API 610; 25 mm; SS 316,SS 316,25 mm,,,Painted,NOS,Hindustan Mechanical,HIN-607-12,Visakh Refinery,Active,21459,2025-02-24,centrifugal pump 25 mm stainless steel 316,api 610; 25 mm; ss 316,ss 316,25 mm,painted,Hindustan Mechanical,HIN-607-12,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-733735,INDUSTRIAL GEAR LUBRICANT ISO VG 220,Lubricants,Lubricant,IS 10522; ISO VG 220,Mineral Oil,ISO VG 220,,,,LTR,Larsen Engineering,LAR-378-38,Chennai Refinery,Active,24550,2023-12-24,industrial gear lubricant iso vg 220,is 10522; iso vg 220,mineral oil,iso vg 220,,Larsen Engineering,LAR-378-38,LTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-841747,ELBOW 6 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 6 in; ASTM A234 WPB,ASTM A234 WPB,6 in,,,Bare,MTR,Metro Pumps & Valves,MET-725-43,Visakh Refinery,Active,4953,2024-12-05,elbow 6 in astm a234 wpb,asme b16.9; 6 in; astm a234 wpb,astm a234 wpb,6 in,bare,Metro Pumps & Valves,MET-725-43,MTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-350275,PLAIN WASHER M10 GALVANIZED,Fasteners,Washer,IS 2016; M10; Galvanized,Carbon Steel,M10,,,Galvanized,NOS,Shree Valves & Fittings,SHR-550-51,Mehsana Asset,Active,4640,2026-09-02,plain washer m10 galvanized,is 2016; m10; galvanized,carbon steel,m10,galvanized,Shree Valves & Fittings,SHR-550-51,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-294876,PT100 RTD 3-wire 500,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 500 mm,Pt100,3-wire,500 mm,8 mm,SS,NOS,ABC Industrial Products,ABC-787-88,Mumbai Refinery,Active,12113,2025-02-12,pt100 rtd 3-wire 500,iec 60751; 3-wire; 500 mm,pt100,3-wire,ss,ABC Industrial Products,ABC-787-88,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-759529,PRESSURE SAFETY VALVE 4 in,Safety,Safety Valve,API 526; 4 in; SS 316,SS 316,4 in,,,SS,NOS,Eastern Cables,EAS-714-43,Vishakha Terminal,Blocked,8354,2024-02-23,pressure safety valve 4 in,api 526; 4 in; ss 316,ss 316,4 in,ss,Eastern Cables,EAS-714-43,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-614777,SPIRAL WOUND GASKET 2 in Graphite/SS 316,Seals,Gasket,ASME B16.20; 2 in; Graphite/SS 316,Graphite/SS 316,2 in,,,SS,NOS,ABC Industrial Products,ABC-161-10,Vishakha Terminal,Active,16600,2024-12-30,spiral wound gasket 2 in graphite/stainless steel 316,asme b16.20; 2 in; graphite/ss 316,graphite/ss 316,2 in,ss,ABC Industrial Products,ABC-161-10,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
CPCL,CPCL-987984,WELD NECK FLANGE 2 in ASME B16.5,Pipes & Fittings,Flange,ASME B16.5; 2 in; ASTM A105,ASTM A105,2 in,,,Bare,MTR,Apex Industrial Systems,APE-190-29,Chennai Refinery,Active,19297,2025-12-11,weld neck flange 2 in asme b16.5,asme b16.5; 2 in; astm a105,astm a105,2 in,bare,Apex Industrial Systems,APE-190-29,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-354243,PIPE 1 in ASTM A106 Gr.B,Pipes & Fittings,Pipe,API 5L; 1 in; ASTM A106 Gr.B,ASTM A106 Gr.B,1 in,3000 mm,,Black,MTR,Bharat Industrial Works,BHA-159-45,Vishakha Terminal,Active,11133,2024-06-28,pipe 1 in astm a106 gr.b,api 5l; 1 in; astm a106 gr.b,astm a106 gr.b,1 in,black,Bharat Industrial Works,BHA-159-45,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-931985,RTD SENSOR 3-wire,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 150 mm,Pt100,3-wire,150 mm,8 mm,SS,NOS,Bharat Industrial Works,BHA-666-69,Chennai Refinery,Active,11422,2025-09-16,rtd sensor 3-wire,iec 60751; 3-wire; 150 mm,pt100,3-wire,ss,Bharat Industrial Works,BHA-666-69,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-376594,PT100 RTD 3-wire 500,Instrumentation,Temperature Sensor,IEC 60751; 3-wire; 500 mm,Pt100,3-wire,500 mm,6 mm,SS,NOS,Hindustan Mechanical,HIN-396-43,Mathura Refinery,Active,6213,2024-01-19,pt100 rtd 3-wire 500,iec 60751; 3-wire; 500 mm,pt100,3-wire,ss,Hindustan Mechanical,HIN-396-43,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-839108,90 DEGREE ELBOW 4 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 4 in; ASTM A234 WPB,ASTM A234 WPB,4 in,,,Bare,MTR,Bharat Industrial Works,BHA-216-19,Ahmedabad Asset,Active,15142,2024-07-03,90 degree elbow 4 in astm a234 wpb,asme b16.9; 4 in; astm a234 wpb,astm a234 wpb,4 in,bare,Bharat Industrial Works,BHA-216-19,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-656255,HRC FUSE 2 A,Electrical,Fuse,IS 13703; 2 A,Ceramic,2 A,,,,MTR,Bharat Industrial Works,BHA-589-54,Chennai Refinery,Active,20299,2024-03-19,high rupturing capacity fuse 2 a,is 13703; 2 a,ceramic,2 a,,Bharat Industrial Works,BHA-589-54,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-864890,HIGH PRESSURE HYDRAULIC HOSE 1/2 in,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 1000 mm,Synthetic Rubber,1/2 in,1000 mm,,Rubber,MTR,National Bearing Works,NAT-675-56,Mumbai Refinery,Active,23261,2025-11-28,high pressure hydraulic hose 1/2 in,sae 100 r2; 1/2 in; 1000 mm,synthetic rubber,1/2 in,rubber,National Bearing Works,NAT-675-56,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-358191,HEXAGONAL NUT M10 GALVANIZED,Fasteners,Nut,IS 1364; M10; Galvanized,Carbon Steel,M10,,,Galvanized,NOS,Larsen Engineering,LAR-948-81,Vishakha Terminal,Active,3299,2026-08-05,hexagonal nut m10 galvanized,is 1364; m10; galvanized,carbon steel,m10,galvanized,Larsen Engineering,LAR-948-81,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-227120,PROCESS PUMP 80 mm,Pumps,Centrifugal Pump,API 610; 80 mm; SS 316,SS 316,80 mm,,,Painted,NOS,Metro Pumps & Valves,MET-922-76,Mathura Refinery,Active,12083,2023-12-19,process pump 80 mm,api 610; 80 mm; ss 316,ss 316,80 mm,painted,Metro Pumps & Valves,MET-922-76,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-345079,XLPE CABLE 16 sq mm,Electrical,Cable,IS 7098; 16 sq mm; 1000 m,XLPE Copper,16 sq mm,1000 mm,,PVC,MTR,National Bearing Works,NAT-375-72,Mehsana Asset,Active,21012,2025-06-07,xlpe cable 16 sq mm,is 7098; 16 sq mm; 1000 m,xlpe copper,16 sq mm,pvc,National Bearing Works,NAT-375-72,MTR,True,1,LOWERCASE_TEXT
CPCL,CPCL-156373,90 DEGREE ELBOW 2 in ASTM A234 WPB,Pipes & Fittings,Elbow,ASME B16.9; 2 in; ASTM A234 WPB,ASTM A234 WPB,2 in,,,Bare,MTR,ABC Industrial Products,ABC-946-89,Chennai Refinery,Active,24352,2026-04-22,90 degree elbow 2 in astm a234 wpb,asme b16.9; 2 in; astm a234 wpb,astm a234 wpb,2 in,bare,ABC Industrial Products,ABC-946-89,MTR,True,1,LOWERCASE_TEXT
IOCL,IOCL-507830,FLOATING BALL VALVE 1 in SS 316,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Eastern Cables,EAS-164-92,Paradip Refinery,Active,1688,2024-10-07,floating ball valve 1 in stainless steel 316,api 608; 1 in; ss 316,ss 316,1 in,ss,Eastern Cables,EAS-164-92,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-185996,FLAT WASHER M10,Fasteners,Washer,IS 2016; M10; Galvanized,Carbon Steel,M10,,,Galvanized,NOS,Bharat Industrial Works,BHA-682-85,Paradip Refinery,Active,23820,2026-02-27,flat washer m10,is 2016; m10; galvanized,carbon steel,m10,galvanized,Bharat Industrial Works,BHA-682-85,NOS,True,1,LOWERCASE_TEXT
HPCL,HPCL-902307,FLOATING BALL VALVE 1 in SS 316,Valves,Ball Valve,API 608; 1 in; SS 316,SS 316,1 in,,,SS,NOS,Shree Valves & Fittings,SHR-719-96,Mumbai Refinery,Active,10841,2024-04-18,floating ball valve 1 in stainless steel 316,api 608; 1 in; ss 316,ss 316,1 in,ss,Shree Valves & Fittings,SHR-719-96,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
ONGC,ONGC-717782,M12 HEX NUT,Fasteners,Nut,IS 1364; M12; Zinc Plated,Carbon Steel,M12,,,Zinc Plated,NOS,Prime Electricals,PRI-711-51,Mehsana Asset,Active,19642,2026-04-26,m12 hexagonal nut,is 1364; m12; zinc plated,carbon steel,m12,zinc plated,Prime Electricals,PRI-711-51,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-306085,HYD HOSE 1-1/2 in 1000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1-1/2 in; 1000 mm,Synthetic Rubber,1-1/2 in,1000 mm,,Rubber,MTR,Apex Industrial Systems,APE-402-93,Mathura Refinery,Active,6543,2025-01-04,hyd hose 1-1/2 in 1000 mm,sae 100 r2; 1-1/2 in; 1000 mm,synthetic rubber,1-1/2 in,rubber,Apex Industrial Systems,APE-402-93,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-148246,HYD HOSE 1/2 in 5000 MM,Hoses,Hydraulic Hose,SAE 100 R2; 1/2 in; 5000 mm,Synthetic Rubber,1/2 in,5000 mm,,Rubber,MTR,Eastern Cables,EAS-237-67,Mumbai Refinery,Active,3029,2024-03-25,hyd hose 1/2 in 5000 mm,sae 100 r2; 1/2 in; 5000 mm,synthetic rubber,1/2 in,rubber,Eastern Cables,EAS-237-67,MTR,True,1,LOWERCASE_TEXT
HPCL,HPCL-543755,CENTRIFUGAL PUMP 25 mm SS 316,Pumps,Centrifugal Pump,API 610; 25 mm; SS 316,SS 316,25 mm,,,Painted,NOS,Hindustan Mechanical,HIN-186-90,Vishakha Terminal,Active,9556,2025-12-21,centrifugal pump 25 mm stainless steel 316,api 610; 25 mm; ss 316,ss 316,25 mm,painted,Hindustan Mechanical,HIN-186-90,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-353213,EP GEAR OIL EP 90,Lubricants,Lubricant,IS 10522; EP 90,Mineral Oil,EP 90,,,,LTR,Eastern Cables,EAS-864-94,Mathura Refinery,Active,21278,2026-01-06,ep gear oil ep 90,is 10522; ep 90,mineral oil,ep 90,,Eastern Cables,EAS-864-94,LTR,True,1,LOWERCASE_TEXT
ONGC,ONGC-809444,HRC FUSE 63 A,Electrical,Fuse,IS 13703; 63 A,Ceramic,63 A,,,,MTR,Precision Fasteners,PRE-950-71,Mumbai Offshore,Blocked,11137,2025-02-21,high rupturing capacity fuse 63 a,is 13703; 63 a,ceramic,63 a,,Precision Fasteners,PRE-950-71,MTR,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
HPCL,HPCL-426524,HORIZONTAL CENTRIFUGAL PUMP 40 mm,Pumps,Centrifugal Pump,API 610; 40 mm; SS 316,SS 316,40 mm,,,Painted,NOS,Larsen Engineering,LAR-154-18,Vishakha Terminal,Blocked,15115,2026-08-23,horizontal centrifugal pump 40 mm,api 610; 40 mm; ss 316,ss 316,40 mm,painted,Larsen Engineering,LAR-154-18,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-801650,PRESSURE INDICATOR 0-100 bar,Instrumentation,Pressure Gauge,EN 837-1; Range 0-100 bar,SS 304,0-100 bar,,,SS,NOS,Hindustan Mechanical,HIN-593-67,Mehsana Asset,Active,20422,2024-03-20,pressure indicator 0-100 bar,en 837-1; range 0-100 bar,ss 304,0-100 bar,ss,Hindustan Mechanical,HIN-593-67,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-369052,FLAT WASHER M8,Fasteners,Washer,IS 2016; M8; Galvanized,Carbon Steel,M8,,,Galvanized,NOS,Metro Pumps & Valves,MET-892-56,Mehsana Asset,Active,682,2025-07-20,flat washer m8,is 2016; m8; galvanized,carbon steel,m8,galvanized,Metro Pumps & Valves,MET-892-56,NOS,True,1,LOWERCASE_TEXT
IOCL,IOCL-996945,HEX NUT M10 GALVANIZED,Fasteners,Nut,IS 1364; M10; Galvanized,Carbon Steel,M10,,,Galvanized,NOS,Larsen Engineering,LAR-320-15,Panipat Refinery,Inactive,21211,2024-02-29,hexagonal nut m10 galvanized,is 1364; m10; galvanized,carbon steel,m10,galvanized,Larsen Engineering,LAR-320-15,NOS,True,2,LOWERCASE_TEXT;ABBREVIATION_EXPANSION
IOCL,IOCL-637648,GATE VALVE 3 in API 600,Valves,Gate Valve,API 600; 3 in; ASTM A216 WCB,ASTM A216 WCB,3 in,,,Painted,NOS,Metro Pumps & Valves,MET-588-93,Mathura Refinery,Inactive,15641,2026-05-23,gate valve 3 in api 600,api 600; 3 in; astm a216 wcb,astm a216 wcb,3 in,painted,Metro Pumps & Valves,MET-588-93,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-271729,WASHER M16 ZINC PLATED,Fasteners,Washer,IS 2016; M16; Zinc Plated,Carbon Steel,M16,,,Zinc Plated,NOS,Metro Pumps & Valves,MET-554-16,Mumbai Offshore,Active,12162,2025-09-05,washer m16 zinc plated,is 2016; m16; zinc plated,carbon steel,m16,zinc plated,Metro Pumps & Valves,MET-554-16,NOS,True,1,LOWERCASE_TEXT
ONGC,ONGC-734921,EP GEAR OIL ISO VG 320,Lubricants,Lubricant,IS 10522; ISO VG 320,Mineral Oil,ISO VG 320,,,,LTR,Apex Industrial Systems,APE-252-20,Mumbai Offshore,Active,5361,2026-01-01,ep gear oil iso vg 320,is 10522; iso vg 320,mineral oil,iso vg 320,,Apex Industrial Systems,APE-252-20,LTR,True,1,LOWERCASE_TEXT
