CPSE,Sector,Material_Code,Material_Description,Material_Category,Material_Type,Specification,Material_Grade,Size,Length,Diameter,Coating,Unit,Manufacturer,Manufacturer_Part_No,Plant,Material_Status,Annual_Consumption,Last_Purchase_Date,Unit_Price_INR
NMDC,Mining,NMDC-410012,DN 150 Flange - IS 2062,Pipes & Fittings,Flange,ASTM A106,IS 2062,DN 150,12 m,DN 150,Galvanized,MTR,Maharashtra Seamless,MAHSEA-F-DN150-20,Bailadila Iron Ore Mine,Slow-Moving,6072,2024-04-27,40723.86
ONGC,Oil & Gas,ONGC-100015,IND.Reducer 2 in Carbon Steel,Pipes & Fittings,Reducer,IS 1239,Carbon Steel,2 in,,200 mm,Zinc Plated,MTR,Jindal Pipes,JINPIP-R-2in-73,Ankleshwar Asset,Active,8741,2024-08-08,7326.54
HPCL,Oil & Gas,HPCL-120011,SPARE-2 in REDUCER - Carbon Steel,Pipes & Fittings,Reducer,IS 1239,Carbon Steel,2 in,,200 mm,Zinc Plated,MTR,Jindal Pipes,JINPIP-R-2in-44,Visakh Refinery,Slow-Moving,9349,2025-09-02,8152.24
NMDC,Mining,NMDC-410013,2 in Reducer - Carbon Steel,Pipes & Fittings,Reducer,IS 1239,Carbon Steel,2 in,,200 mm,Zinc Plated,MTR,Jindal Pipes,JINPIP-R-2in-20,Bailadila Iron Ore Mine,Active,6997,2025-05-12,6802.35
BHEL,Heavy Engineering,BHEL-500013,SPARE-Reducer Carbon Steel 2 in,Pipes & Fittings,Reducer,IS 1239,Carbon Steel,2 in,,200 mm,Zinc Plated,MTR,Jindal Pipes,JINPIP-R-2in-35,Ranipet Complex,Active,11161,2025-11-25,9963.84
NTPC,Power,NTPC-200013,IND.Reducer Carbon Steel 2 in,Pipes & Fittings,Reducer,IS 1239,Carbon Steel,2 in,,200 mm,Zinc Plated,MTR,Jindal Pipes,JINPIP-R-2in-86,Korba STPS,Obsolete,947,2024-01-08,9963.84
IOCL,Oil & Gas,IOCL-110015,STORES ITEM Submersible Pump DN 100 SS316,Pumps,Submersible Pump,API 610,SS316,DN 100,,DN 100,None,SET,WPIL,WPI-SP-DN100-10,Haldia Refinery,Active,1325,2024-11-16,59928.61
SAIL,Steel,SAIL-300018,SUBMERSIBLE PUMP SS316 DN 100,Pumps,Submersible Pump,API 610,SS316,DN 100,,DN 100,None,SET,WPIL,WPI-SP-DN100-91,Bokaro Steel Plant,Active,5371,2024-06-24,59883.48
HPCL,Oil & Gas,HPCL-120012,STORES ITEM Submersible Pump DN 100 SS316,Pumps,Submersible Pump,API 610,SS316,DN 100,,DN 100,None,SET,WPIL,WPI-SP-DN100-59,Bhatinda Refinery,Active,9698,2025-02-14,64281.83
Coal India,Mining,CIL-400010,"SPARE-Submersible Pump, SS316, SIZE DN 100",Pumps,Submersible Pump,API 610,SS316,DN 100,,DN 100,None,SET,WPIL,WPI-SP-DN100-40,Jharia Coalfields,Active,10424,2024-04-26,59883.48
IOCL,Oil & Gas,IOCL-110016,IND.SUBMERSIBLE PUMP SS316 DN 80,Pumps,Submersible Pump,ISO 2858,SS316,DN 80,,DN 80,PTFE Lined,SET,KSB,KSB-SP-DN80-58,Mathura Refinery,Active,7295,2025-10-08,74299.62
NMDC,Mining,NMDC-410014,SUBMERSIBLE PUMP DN 80 SS316,Pumps,Submersible Pump,ISO 2858,SS316,DN 80,,DN 80,PTFE Lined,SET,KSB,KSB-SP-DN80-76,Donimalai Iron Ore Mine,Active,7454,2024-02-08,56832.87
NTPC,Power,NTPC-200014,STORES ITEM SUBMERSIBLE PUMP DN 80 SS316,Pumps,Submersible Pump,ISO 2858,SS316,DN 80,,DN 80,PTFE Lined,SET,KSB,KSB-SP-DN80-10,Vindhyachal STPS,Active,13318,2025-08-08,47321.44
SAIL,Steel,SAIL-300019,SPARE-DN 80 SUBMERSIBLE PUMP - Carbon Steel,Pumps,Submersible Pump,IS 1520,Carbon Steel,DN 80,,,,SET,Mather+Platt,MAT-SP-DN80-68,Bokaro Steel Plant,Active,12738,2024-12-12,68912.51
IOCL,Oil & Gas,IOCL-110017,SPARE-Submersible Pump DN 80 Carbon Steel,Pumps,Submersible Pump,IS 1520,Carbon Steel,DN 80,,,,SET,Mather+Platt,MAT-SP-DN80-81,Panipat Refinery,Active,6383,2024-10-17,84788.31
HPCL,Oil & Gas,HPCL-120013,"SUBMERSIBLE PUMP, Carbon Steel, SIZE DN 80",Pumps,Submersible Pump,IS 1520,Carbon Steel,DN 80,,,,SET,Mather+Platt,MAT-SP-DN80-78,Bhatinda Refinery,Slow-Moving,5132,2025-11-02,65175.72
Coal India,Mining,CIL-400011,0-100 bar TEMPERATURE TRANSMITTER - Polycarbonate,Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-83,Talcher Coalfields,Active,3559,2024-12-15,93854.8
HPCL,Oil & Gas,HPCL-120014,IND.Temperature Transmitter 0-100 bar Polycarbonate,Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-25,Visakh Refinery,Active,12962,2024-04-13,95444.7
ONGC,Oil & Gas,ONGC-100016,"TEMPERATURE TRANSMITTER, Polycarbonate, SIZE 0-100 bar",Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-95,Uran Plant,Active,2577,2024-06-15,82759.81
NMDC,Mining,NMDC-410015,TEMPERATURE TRANSMITTER Polycarbonate 0-100 bar,Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-99,Kirandul Complex,Active,11839,2024-08-31,60829.03
BHEL,Heavy Engineering,BHEL-500014,"Temperature Transmitter, Polycarbonate, SIZE 0-100 bar",Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-97,Bhopal Complex,Active,13298,2025-04-25,96434.22
SAIL,Steel,SAIL-300020,SPARE-TEMPERATURE TRANSMITTER Polycarbonate 0-100 bar,Instrumentation,Temperature Transmitter,ASME B40.100,Polycarbonate,0-100 bar,,,,NOS,ABB,ABB-TT-0-100bar-48,Rourkela Steel Plant,Active,6909,2024-06-14,93472.28
HPCL,Oil & Gas,HPCL-120015,STORES ITEM 2 in x 1.5 in Vertical Turbine Pump - Duplex Steel,Pumps,Vertical Turbine Pump,API 610,Duplex Steel,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-56,Mumbai Refinery,Obsolete,6847,2024-02-24,52158.97
NMDC,Mining,NMDC-410016,"SPARE-Vertical Turbine Pump, Duplex Steel, SIZE 2 in x 1.5 in",Pumps,Vertical Turbine Pump,API 610,Duplex Steel,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-31,Donimalai Iron Ore Mine,Active,1673,2025-10-27,37760.36
IOCL,Oil & Gas,IOCL-110018,"STORES ITEM VERTICAL TURBINE PUMP, Duplex Steel, SIZE 2 in x 1.5 in",Pumps,Vertical Turbine Pump,API 610,Duplex Steel,2 in x 1.5 in,,,,SET,Kirloskar,KIR-VTP-2inx1.5in-18,Gujarat Refinery,Slow-Moving,7735,2025-04-04,37760.36
ONGC,Oil & Gas,ONGC-100017,IND.4 in Gate Valve - SS316,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-64,Mumbai Offshore Complex,Active,10123,2024-12-27,42527.37
NTPC,Power,NTPC-200015,GV 4 in SS316,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-24,Dadri Plant,Active,7752,2024-02-14,39897.22
HPCL,Oil & Gas,HPCL-120016,4 in GV - SS316,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-33,Visakh Refinery,Active,10815,2025-10-05,51977.89
IOCL,Oil & Gas,IOCL-110019,4 in Gate Valve - SS316,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-95,Mathura Refinery,Active,13378,2025-10-20,36015.88
Coal India,Mining,CIL-400012,IND.Gate Valve 4 in SS316,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-90,Jharia Coalfields,Slow-Moving,7548,2024-02-07,38040.89
BHEL,Heavy Engineering,BHEL-500015,SPARE-GV SS316 4 in,Valves,Gate Valve,API 600,SS316,4 in,,,,NOS,Leader Valves,LEAVAL-GV-4in-26,Hazira Complex,Obsolete,8947,2025-04-29,41396.4
NTPC,Power,NTPC-200016,STORES ITEM Seamless Pipe DN 100 SS316L,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 100,1000 mm,80 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-SP-DN100-48,Dadri Plant,Active,13523,2024-07-03,29130.44
HPCL,Oil & Gas,HPCL-120017,SPARE-DN 100 PIPE SMLS - SS316L,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 100,1000 mm,80 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-SP-DN100-14,Visakh Refinery,Active,11808,2025-03-12,39458.03
SAIL,Steel,SAIL-300021,SPARE-Seamless Pipe SS316L DN 100,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 100,1000 mm,80 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-SP-DN100-45,Bokaro Steel Plant,Active,13017,2024-02-28,28696.28
BHEL,Heavy Engineering,BHEL-500016,IND.Seamless Pipe SS316L DN 100,Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 100,1000 mm,80 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-SP-DN100-47,Ranipet Complex,Active,1151,2024-08-29,26724.74
IOCL,Oil & Gas,IOCL-110020,"Seamless Pipe, SS316L, SIZE DN 100",Pipes & Fittings,Seamless Pipe,IS 1239,SS316L,DN 100,1000 mm,80 mm,Epoxy Coated,MTR,Jindal Pipes,JINPIP-SP-DN100-47,Haldia Refinery,Active,6127,2025-01-15,41865.3
SAIL,Steel,SAIL-300022,IND.MECHANICAL SEAL 100 mm PTFE,Seals,Mechanical Seal,DIN 3760,PTFE,100 mm,,,Galvanized,NOS,Chesterton,CHE-MS-100mm-28,Bokaro Steel Plant,Active,1263,2025-04-07,1121.96
HPCL,Oil & Gas,HPCL-120018,SPARE-MECHANICAL SEAL 100 mm PTFE,Seals,Mechanical Seal,DIN 3760,PTFE,100 mm,,,Galvanized,NOS,Chesterton,CHE-MS-100mm-57,Bhatinda Refinery,Active,4807,2024-11-03,1053.05
Coal India,Mining,CIL-400013,"IND.Mechanical Seal, PTFE, SIZE 100 mm",Seals,Mechanical Seal,DIN 3760,PTFE,100 mm,,,Galvanized,NOS,Chesterton,CHE-MS-100mm-47,Korba Coalfields,Active,8144,2024-01-27,1586.69
IOCL,Oil & Gas,IOCL-110021,Mechanical Seal 100 mm PTFE,Seals,Mechanical Seal,DIN 3760,PTFE,100 mm,,,Galvanized,NOS,Chesterton,CHE-MS-100mm-48,Mathura Refinery,Active,6573,2025-05-05,1179.39
NTPC,Power,NTPC-200017,STORES ITEM Level Transmitter 4-20 mA SS316,Instrumentation,Level Transmitter,ASME B40.100,SS316,4-20 mA,,,,NOS,ABB,ABB-LT-4-20mA-82,Korba STPS,Slow-Moving,8538,2024-06-05,72249.91
Coal India,Mining,CIL-400014,4-20 mA LEVEL TRANSMITTER - SS316,Instrumentation,Level Transmitter,ASME B40.100,SS316,4-20 mA,,,,NOS,ABB,ABB-LT-4-20mA-42,Korba Coalfields,Slow-Moving,4155,2024-07-20,51972.58
HPCL,Oil & Gas,HPCL-120019,LEVEL TRANSMITTER 4-20 mA SS316,Instrumentation,Level Transmitter,ASME B40.100,SS316,4-20 mA,,,,NOS,ABB,ABB-LT-4-20mA-36,Bhatinda Refinery,Active,2812,2025-08-29,64783.54
BHEL,Heavy Engineering,BHEL-500017,M10 x 40 HEX NUT - Carbon Steel,Fasteners,Hex Nut,ASTM A193,Carbon Steel,M10 x 40,40 mm,,Zinc Plated,NOS,Unbrako,UNB-HN-M10x40-80,Ranipet Complex,Active,4999,2025-05-09,594.19
Coal India,Mining,CIL-400015,"Hex Nut, Carbon Steel, SIZE M10 x 40",Fasteners,Hex Nut,ASTM A193,Carbon Steel,M10 x 40,40 mm,,Zinc Plated,NOS,Unbrako,UNB-HN-M10x40-39,Jharia Coalfields,Active,7983,2025-04-20,608.89
IOCL,Oil & Gas,IOCL-110022,SPARE-HEX NUT Carbon Steel M10 x 40,Fasteners,Hex Nut,ASTM A193,Carbon Steel,M10 x 40,40 mm,,Zinc Plated,NOS,Unbrako,UNB-HN-M10x40-19,Mathura Refinery,Active,6120,2025-06-11,591.27
IOCL,Oil & Gas,IOCL-110023,IND.Thrust Bearing Stainless Steel 6208,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-42,Gujarat Refinery,Obsolete,7698,2025-05-25,2552.68
ONGC,Oil & Gas,ONGC-100018,THRUST BEARING Stainless Steel 6208,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-03,Sivasagar Asset,Obsolete,3574,2025-08-20,2569.98
NTPC,Power,NTPC-200018,SPARE-THRUST BEARING 6208 Stainless Steel,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-37,Singrauli STPS,Slow-Moving,7110,2024-05-17,1884.38
SAIL,Steel,SAIL-300023,THRUST BEARING Stainless Steel 6208,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-98,Durgapur Steel Plant,Active,9254,2024-07-18,2574.22
NMDC,Mining,NMDC-410017,6208 THRUST BEARING - Stainless Steel,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-10,Donimalai Iron Ore Mine,Slow-Moving,10261,2025-11-27,1884.38
HPCL,Oil & Gas,HPCL-120020,SPARE-6208 THRUST BEARING - Stainless Steel,Bearings,Thrust Bearing,ISO 15,Stainless Steel,6208,,,,NOS,NBC Bearings,NBCBEA-TB-6208-13,Mumbai Refinery,Slow-Moving,3311,2025-09-08,2303.14
NMDC,Mining,NMDC-410018,0-100 bar RTD SENSOR - SS316,Instrumentation,RTD Sensor,IEC 60529,SS316,0-100 bar,,,,NOS,Yokogawa,YOK-RS-0-100bar-21,Donimalai Iron Ore Mine,Active,8401,2025-06-29,113668.37
NTPC,Power,NTPC-200019,SPARE-0-100 bar RTD Sensor - SS316,Instrumentation,RTD Sensor,IEC 60529,SS316,0-100 bar,,,,NOS,Yokogawa,YOK-RS-0-100bar-39,Korba STPS,Active,6874,2025-08-20,81267.72
ONGC,Oil & Gas,ONGC-100019,"RTD SENSOR, SS316, SIZE 0-100 bar",Instrumentation,RTD Sensor,IEC 60529,SS316,0-100 bar,,,,NOS,Yokogawa,YOK-RS-0-100bar-77,Mumbai Offshore Complex,Slow-Moving,9610,2025-05-06,79877.75
BHEL,Heavy Engineering,BHEL-500018,RTD Sensor 0-100 bar SS316,Instrumentation,RTD Sensor,IEC 60529,SS316,0-100 bar,,,,NOS,Yokogawa,YOK-RS-0-100bar-19,Ranipet Complex,Active,7275,2024-11-17,72446.31
IOCL,Oil & Gas,IOCL-110024,RTD SENSOR SS316 0-100 bar,Instrumentation,RTD Sensor,IEC 60529,SS316,0-100 bar,,,,NOS,Yokogawa,YOK-RS-0-100bar-89,Barauni Refinery,Slow-Moving,12105,2024-03-04,81267.72
BHEL,Heavy Engineering,BHEL-500019,IND.M16 x 65 Socket Head Screw - Carbon Steel,Fasteners,Socket Head Screw,DIN 931,Carbon Steel,M16 x 65,65 mm,,None,NOS,Precision Fasteners,PREFAS-SHS-M16x65-79,Bhopal Complex,Active,3734,2024-10-31,3546.42
NTPC,Power,NTPC-200020,STORES ITEM M16 x 65 SOCKET HEAD SCREW - Carbon Steel,Fasteners,Socket Head Screw,DIN 931,Carbon Steel,M16 x 65,65 mm,,None,NOS,Precision Fasteners,PREFAS-SHS-M16x65-89,Ramagundam STPS,Active,13081,2024-10-07,3378.23
SAIL,Steel,SAIL-300024,SPARE-Socket Head Screw M16 x 65 Carbon Steel,Fasteners,Socket Head Screw,DIN 931,Carbon Steel,M16 x 65,65 mm,,None,NOS,Precision Fasteners,PREFAS-SHS-M16x65-51,Bokaro Steel Plant,Active,11750,2024-03-21,2535.54
HPCL,Oil & Gas,HPCL-120021,"IND.SOCKET HEAD SCREW, Carbon Steel, SIZE M16 x 65",Fasteners,Socket Head Screw,DIN 931,Carbon Steel,M16 x 65,65 mm,,None,NOS,Precision Fasteners,PREFAS-SHS-M16x65-84,Visakh Refinery,Slow-Moving,4492,2025-07-29,2614.94
Coal India,Mining,CIL-400016,"Socket Head Screw, Carbon Steel, SIZE M16 x 65",Fasteners,Socket Head Screw,DIN 931,Carbon Steel,M16 x 65,65 mm,,None,NOS,Precision Fasteners,PREFAS-SHS-M16x65-14,Korba Coalfields,Active,910,2024-04-12,3247.47
BHEL,Heavy Engineering,BHEL-500020,SPARE-0-100 bar FLOW METER - Brass,Instrumentation,Flow Meter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-FM-0-100bar-62,Ranipet Complex,Active,14925,2024-04-01,85109.82
NMDC,Mining,NMDC-410019,"STORES ITEM Flow Meter, Brass, SIZE 0-100 bar",Instrumentation,Flow Meter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-FM-0-100bar-69,Bailadila Iron Ore Mine,Obsolete,645,2025-02-10,85109.82
ONGC,Oil & Gas,ONGC-100020,0-100 bar Flow Meter - Brass,Instrumentation,Flow Meter,ASME B40.100,Brass,0-100 bar,,,,NOS,Yokogawa,YOK-FM-0-100bar-96,Ankleshwar Asset,Active,1808,2024-12-09,90740.71
HPCL,Oil & Gas,HPCL-120022,"FLANGE, Alloy Steel, SIZE DN 150",Pipes & Fittings,Flange,ASME B16.9,Alloy Steel,DN 150,3 m,100 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-F-DN150-95,Mumbai Refinery,Active,14077,2025-10-16,21303.27
NMDC,Mining,NMDC-410020,STORES ITEM Flange DN 150 Alloy Steel,Pipes & Fittings,Flange,ASME B16.9,Alloy Steel,DN 150,3 m,100 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-F-DN150-66,Donimalai Iron Ore Mine,Active,2353,2025-05-03,23319.68
SAIL,Steel,SAIL-300025,IND.FLANGE Alloy Steel DN 150,Pipes & Fittings,Flange,ASME B16.9,Alloy Steel,DN 150,3 m,100 mm,Epoxy Coated,MTR,Tata Steel,TATSTE-F-DN150-01,Rourkela Steel Plant,Slow-Moving,5450,2024-11-05,16839.86
Coal India,Mining,CIL-400017,IND.Globe Valve LCB 4 in,Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-79,Singareni Collieries,Active,12300,2025-09-12,13396.31
BHEL,Heavy Engineering,BHEL-500021,Globe Valve 4 in LCB,Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-97,Ranipet Complex,Active,8703,2025-12-21,9535.64
NMDC,Mining,NMDC-410021,"Globe Valve, LCB, SIZE 4 in",Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-15,Kirandul Complex,Active,14049,2025-06-16,9535.64
NTPC,Power,NTPC-200021,Globe Valve LCB 4 in,Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-92,Ramagundam STPS,Slow-Moving,7479,2024-05-15,9535.64
HPCL,Oil & Gas,HPCL-120023,SPARE-GLOBE VALVE 4 in LCB,Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-73,Visakh Refinery,Active,13426,2024-01-04,11654.67
IOCL,Oil & Gas,IOCL-110025,SPARE-GLOBE VALVE 4 in LCB,Valves,Globe Valve,API 598,LCB,4 in,,4 in,Epoxy Coated,NOS,Audco,AUD-GV-4in-10,Mathura Refinery,Active,1037,2024-03-11,12157.75
NTPC,Power,NTPC-200022,IND.Mechanical Seal Graphite 65 mm,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-18,Korba STPS,Active,11975,2024-08-16,17657.14
BHEL,Heavy Engineering,BHEL-500022,MECHANICAL SEAL Graphite 65 mm,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-39,Hazira Complex,Slow-Moving,4105,2025-04-16,16585.5
HPCL,Oil & Gas,HPCL-120024,STORES ITEM Mechanical Seal 65 mm Graphite,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-25,Visakh Refinery,Active,1152,2024-04-13,12429.87
NMDC,Mining,NMDC-410022,Mechanical Seal Graphite 65 mm,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-77,Donimalai Iron Ore Mine,Active,8893,2024-08-10,15192.07
IOCL,Oil & Gas,IOCL-110026,65 mm Mechanical Seal - Graphite,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-18,Panipat Refinery,Active,12707,2025-11-19,15918.96
ONGC,Oil & Gas,ONGC-100021,STORES ITEM 65 mm Mechanical Seal - Graphite,Seals,Mechanical Seal,ASME B16.20,Graphite,65 mm,,,,NOS,Sealol,SEA-MS-65mm-39,Ankleshwar Asset,Active,9171,2025-08-28,16449.27
Coal India,Mining,CIL-400018,ANCHOR BOLT Carbon Steel M20 x 80,Fasteners,Anchor Bolt,ASME B18.2.1,Carbon Steel,M20 x 80,80 mm,,None,KG,Precision Fasteners,PREFAS-AB-M20x80-39,Korba Coalfields,Obsolete,9180,2025-06-26,1233.44
HPCL,Oil & Gas,HPCL-120025,ANCHOR BOLT Carbon Steel M20 x 80,Fasteners,Anchor Bolt,ASME B18.2.1,Carbon Steel,M20 x 80,80 mm,,None,KG,Precision Fasteners,PREFAS-AB-M20x80-33,Mumbai Refinery,Slow-Moving,1564,2025-07-02,1139.79
IOCL,Oil & Gas,IOCL-110027,ANCHOR BOLT M20 x 80 Carbon Steel,Fasteners,Anchor Bolt,ASME B18.2.1,Carbon Steel,M20 x 80,80 mm,,None,KG,Precision Fasteners,PREFAS-AB-M20x80-07,Gujarat Refinery,Slow-Moving,3132,2025-08-24,1657.21
ONGC,Oil & Gas,ONGC-100022,SPARE-M20 x 80 Anchor Bolt - Carbon Steel,Fasteners,Anchor Bolt,ASME B18.2.1,Carbon Steel,M20 x 80,80 mm,,None,KG,Precision Fasteners,PREFAS-AB-M20x80-28,Uran Plant,Obsolete,301,2024-08-04,1656.97
NMDC,Mining,NMDC-410023,"Anchor Bolt, Carbon Steel, SIZE M20 x 80",Fasteners,Anchor Bolt,ASME B18.2.1,Carbon Steel,M20 x 80,80 mm,,None,KG,Precision Fasteners,PREFAS-AB-M20x80-16,Kirandul Complex,Active,3971,2025-07-19,1843.48
SAIL,Steel,SAIL-300026,"DISTRIBUTION TRANSFORMER, Aluminium, SIZE 1C x 300 sq mm",Electrical,Distribution Transformer,IS 2026,Aluminium,1C x 300 sq mm,1000 m,,,MTR,Crompton Greaves,CROGRE-DT-1Cx300sqmm-48,Rourkela Steel Plant,Slow-Moving,315,2024-09-24,19215.11
NTPC,Power,NTPC-200023,"IND.DISTRIBUTION TRANSFORMER, Aluminium, SIZE 1C x 300 sq mm",Electrical,Distribution Transformer,IS 2026,Aluminium,1C x 300 sq mm,1000 m,,,MTR,Crompton Greaves,CROGRE-DT-1Cx300sqmm-75,Korba STPS,Active,6273,2025-08-06,17557.68
ONGC,Oil & Gas,ONGC-100023,STORES ITEM DISTRIBUTION TRANSFORMER Aluminium 1C x 300 sq mm,Electrical,Distribution Transformer,IS 2026,Aluminium,1C x 300 sq mm,1000 m,,,MTR,Crompton Greaves,CROGRE-DT-1Cx300sqmm-71,Sivasagar Asset,Active,12055,2024-12-26,19154.12
BHEL,Heavy Engineering,BHEL-500023,Distribution Transformer 1C x 300 sq mm Aluminium,Electrical,Distribution Transformer,IS 2026,Aluminium,1C x 300 sq mm,1000 m,,,MTR,Crompton Greaves,CROGRE-DT-1Cx300sqmm-24,Ranipet Complex,Slow-Moving,6806,2024-05-20,12794.11
HPCL,Oil & Gas,HPCL-120026,IND.Distribution Transformer Aluminium 1C x 300 sq mm,Electrical,Distribution Transformer,IS 2026,Aluminium,1C x 300 sq mm,1000 m,,,MTR,Crompton Greaves,CROGRE-DT-1Cx300sqmm-09,Mumbai Refinery,Active,10172,2025-10-15,19242.05
NMDC,Mining,NMDC-410024,SPARE-Oil Seal Viton 2 in,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-35,Donimalai Iron Ore Mine,Active,4034,2025-12-14,11116.02
BHEL,Heavy Engineering,BHEL-500024,STORES ITEM Oil Seal Viton 2 in,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-84,Hazira Complex,Active,7848,2024-02-27,8443.27
ONGC,Oil & Gas,ONGC-100024,SPARE-OIL SEAL 2 in Viton,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-11,Ankleshwar Asset,Slow-Moving,747,2024-08-23,11116.02
IOCL,Oil & Gas,IOCL-110028,2 in Oil Seal - Viton,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-61,Mathura Refinery,Slow-Moving,9282,2025-11-04,8355.71
HPCL,Oil & Gas,HPCL-120027,STORES ITEM Oil Seal 2 in Viton,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-03,Visakh Refinery,Active,9289,2024-09-03,7273.32
NTPC,Power,NTPC-200024,IND.OIL SEAL 2 in Viton,Seals,Oil Seal,API 682,Viton,2 in,,,Epoxy Coated,KG,Chesterton,CHE-OS-2in-87,Dadri Plant,Active,5716,2024-02-24,11116.02
ONGC,Oil & Gas,ONGC-100025,6408 Needle Bearing - Chrome Steel,Bearings,Needle Bearing,ISO 15,Chrome Steel,6408,,,,NOS,Timken,TIM-NB-6408-24,Sivasagar Asset,Slow-Moving,11733,2024-03-16,1697.87
HPCL,Oil & Gas,HPCL-120028,SPARE-6408 NEEDLE BEARING - Chrome Steel,Bearings,Needle Bearing,ISO 15,Chrome Steel,6408,,,,NOS,Timken,TIM-NB-6408-49,Mumbai Refinery,Active,135,2024-11-11,1005.85
BHEL,Heavy Engineering,BHEL-500025,IND.Needle Bearing Chrome Steel 6408,Bearings,Needle Bearing,ISO 15,Chrome Steel,6408,,,,NOS,Timken,TIM-NB-6408-14,Bhopal Complex,Active,9138,2025-06-08,1208.27
SAIL,Steel,SAIL-300027,6408 Needle Bearing - Chrome Steel,Bearings,Needle Bearing,ISO 15,Chrome Steel,6408,,,,NOS,Timken,TIM-NB-6408-12,Bhilai Steel Plant,Slow-Moving,252,2024-10-25,1208.27
NTPC,Power,NTPC-200025,"STORES ITEM Needle Bearing, Chrome Steel, SIZE 6408",Bearings,Needle Bearing,ISO 15,Chrome Steel,6408,,,,NOS,Timken,TIM-NB-6408-93,Singrauli STPS,Active,4983,2024-10-01,1208.27
